Factor	Bacteria	Fungi	Oomycetes
Compartment	0.09974	0.22292	0.09789
Stage	0.04239	0.08169	0.088
Management	0.07393	0.10995	0.1646
Genotype	0.01149	0.01435	0.04131
Plot	0.00719	0.0243	0.02249
Location	0.01519	0.0177	0.02587
Compartment:Stage	0.01194	0.0216	0.0172
Compartment:Management	0.02579	0.03661	0.02726
Stage:Management	0.01383	0.01536	0.02458
Stage:Genotype	0.00577	0.00581	0.01228
Management:Genotype	0.01517	0.01446	0.02841
Management:Plot	0.00818	0.0069	0.01779
Genotype:Location	0.00756	0.00632	0.01061
Stage:Management:Genotype	0.0109	0.01154	0.01455
Technical_factor	0.1095	0.07774	0.11056
Others	0.13664	0.10093	0.07985
Unexplained_ratio	0.40479	0.23182	0.21675
