Sample_ID	Genotype	Compartment	Field	Management	Plot	Position	Location	Stage	Run	Compartment_Stage	Compartment_Genotype	Compartment_Stage_Management	Compartment_Stage_Management_Plot	Compartment_Stage_Management_Genotype	Compartment_Stage_Management_Plot_Genotype
RT_1H	1_B73	Root	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_001	Root_Vegetative	Root_1_B73	Root_Vegetative_NK	Root_Vegetative_NK_19	Root_Vegetative_NK_1_B73	Root_Vegetative_NK_19_1_B73
RT_2H	1_B73	Root	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_001	Root_Vegetative	Root_1_B73	Root_Vegetative_NK	Root_Vegetative_NK_19	Root_Vegetative_NK_1_B73	Root_Vegetative_NK_19_1_B73
RT_3H	1_B73	Root	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_001	Root_Vegetative	Root_1_B73	Root_Vegetative_NK	Root_Vegetative_NK_19	Root_Vegetative_NK_1_B73	Root_Vegetative_NK_19_1_B73
RT_7H	2_DK105	Root	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_001	Root_Vegetative	Root_2_DK105	Root_Vegetative_NK	Root_Vegetative_NK_19	Root_Vegetative_NK_2_DK105	Root_Vegetative_NK_19_2_DK105
RT_8H	2_DK105	Root	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_001	Root_Vegetative	Root_2_DK105	Root_Vegetative_NK	Root_Vegetative_NK_19	Root_Vegetative_NK_2_DK105	Root_Vegetative_NK_19_2_DK105
RT_9H	2_DK105	Root	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_001	Root_Vegetative	Root_2_DK105	Root_Vegetative_NK	Root_Vegetative_NK_19	Root_Vegetative_NK_2_DK105	Root_Vegetative_NK_19_2_DK105
RT_13H	3_PH207	Root	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_001	Root_Vegetative	Root_3_PH207	Root_Vegetative_NK	Root_Vegetative_NK_19	Root_Vegetative_NK_3_PH207	Root_Vegetative_NK_19_3_PH207
RT_14H	3_PH207	Root	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_001	Root_Vegetative	Root_3_PH207	Root_Vegetative_NK	Root_Vegetative_NK_19	Root_Vegetative_NK_3_PH207	Root_Vegetative_NK_19_3_PH207
RT_15H	3_PH207	Root	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_001	Root_Vegetative	Root_3_PH207	Root_Vegetative_NK	Root_Vegetative_NK_19	Root_Vegetative_NK_3_PH207	Root_Vegetative_NK_19_3_PH207
RT_19H	4_F2	Root	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_001	Root_Vegetative	Root_4_F2	Root_Vegetative_NK	Root_Vegetative_NK_19	Root_Vegetative_NK_4_F2	Root_Vegetative_NK_19_4_F2
RT_20H	4_F2	Root	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_001	Root_Vegetative	Root_4_F2	Root_Vegetative_NK	Root_Vegetative_NK_19	Root_Vegetative_NK_4_F2	Root_Vegetative_NK_19_4_F2
RT_21H	4_F2	Root	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_001	Root_Vegetative	Root_4_F2	Root_Vegetative_NK	Root_Vegetative_NK_19	Root_Vegetative_NK_4_F2	Root_Vegetative_NK_19_4_F2
RH_1H	1_B73	Rhizosphere	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_001	Rhizosphere_Vegetative	Rhizosphere_1_B73	Rhizosphere_Vegetative_NK	Rhizosphere_Vegetative_NK_19	Rhizosphere_Vegetative_NK_1_B73	Rhizosphere_Vegetative_NK_19_1_B73
RH_2H	1_B73	Rhizosphere	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_001	Rhizosphere_Vegetative	Rhizosphere_1_B73	Rhizosphere_Vegetative_NK	Rhizosphere_Vegetative_NK_19	Rhizosphere_Vegetative_NK_1_B73	Rhizosphere_Vegetative_NK_19_1_B73
RH_3H	1_B73	Rhizosphere	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_001	Rhizosphere_Vegetative	Rhizosphere_1_B73	Rhizosphere_Vegetative_NK	Rhizosphere_Vegetative_NK_19	Rhizosphere_Vegetative_NK_1_B73	Rhizosphere_Vegetative_NK_19_1_B73
RH_7H	2_DK105	Rhizosphere	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_001	Rhizosphere_Vegetative	Rhizosphere_2_DK105	Rhizosphere_Vegetative_NK	Rhizosphere_Vegetative_NK_19	Rhizosphere_Vegetative_NK_2_DK105	Rhizosphere_Vegetative_NK_19_2_DK105
RH_8H	2_DK105	Rhizosphere	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_001	Rhizosphere_Vegetative	Rhizosphere_2_DK105	Rhizosphere_Vegetative_NK	Rhizosphere_Vegetative_NK_19	Rhizosphere_Vegetative_NK_2_DK105	Rhizosphere_Vegetative_NK_19_2_DK105
RH_9H	2_DK105	Rhizosphere	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_001	Rhizosphere_Vegetative	Rhizosphere_2_DK105	Rhizosphere_Vegetative_NK	Rhizosphere_Vegetative_NK_19	Rhizosphere_Vegetative_NK_2_DK105	Rhizosphere_Vegetative_NK_19_2_DK105
RH_13H	3_PH207	Rhizosphere	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_001	Rhizosphere_Vegetative	Rhizosphere_3_PH207	Rhizosphere_Vegetative_NK	Rhizosphere_Vegetative_NK_19	Rhizosphere_Vegetative_NK_3_PH207	Rhizosphere_Vegetative_NK_19_3_PH207
RH_14H	3_PH207	Rhizosphere	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_001	Rhizosphere_Vegetative	Rhizosphere_3_PH207	Rhizosphere_Vegetative_NK	Rhizosphere_Vegetative_NK_19	Rhizosphere_Vegetative_NK_3_PH207	Rhizosphere_Vegetative_NK_19_3_PH207
RH_15H	3_PH207	Rhizosphere	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_001	Rhizosphere_Vegetative	Rhizosphere_3_PH207	Rhizosphere_Vegetative_NK	Rhizosphere_Vegetative_NK_19	Rhizosphere_Vegetative_NK_3_PH207	Rhizosphere_Vegetative_NK_19_3_PH207
RH_19H	4_F2	Rhizosphere	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_001	Rhizosphere_Vegetative	Rhizosphere_4_F2	Rhizosphere_Vegetative_NK	Rhizosphere_Vegetative_NK_19	Rhizosphere_Vegetative_NK_4_F2	Rhizosphere_Vegetative_NK_19_4_F2
RH_20H	4_F2	Rhizosphere	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_001	Rhizosphere_Vegetative	Rhizosphere_4_F2	Rhizosphere_Vegetative_NK	Rhizosphere_Vegetative_NK_19	Rhizosphere_Vegetative_NK_4_F2	Rhizosphere_Vegetative_NK_19_4_F2
RH_21H	4_F2	Rhizosphere	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_001	Rhizosphere_Vegetative	Rhizosphere_4_F2	Rhizosphere_Vegetative_NK	Rhizosphere_Vegetative_NK_19	Rhizosphere_Vegetative_NK_4_F2	Rhizosphere_Vegetative_NK_19_4_F2
RT_25H	5_pht1;6	Root	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_001	Root_Vegetative	Root_5_pht1;6	Root_Vegetative_NK	Root_Vegetative_NK_19	Root_Vegetative_NK_5_pht1;6	Root_Vegetative_NK_19_5_pht1;6
RT_26H	5_pht1;6	Root	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_001	Root_Vegetative	Root_5_pht1;6	Root_Vegetative_NK	Root_Vegetative_NK_19	Root_Vegetative_NK_5_pht1;6	Root_Vegetative_NK_19_5_pht1;6
RT_27H	5_pht1;6	Root	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_001	Root_Vegetative	Root_5_pht1;6	Root_Vegetative_NK	Root_Vegetative_NK_19	Root_Vegetative_NK_5_pht1;6	Root_Vegetative_NK_19_5_pht1;6
RT_31H	1_B73	Root	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_001	Root_Vegetative	Root_1_B73	Root_Vegetative_NPK	Root_Vegetative_NPK_23	Root_Vegetative_NPK_1_B73	Root_Vegetative_NPK_23_1_B73
