Kingdom	Phylum	Class	Order	Family	Genus	Species
ASVO_1	Oomycetes	Oomycetes	Oomycetes	Pythiales	Pythiaceae	Pythium	PythiumarrhenomanesDrechsler|HQ643469
ASVO_2	Oomycetes	Oomycetes	Oomycetes	Pythiales	Pythiaceae	Pythium	PythiumarrhenomanesDrechsler|AF330182
ASVO_3	Oomycetes	Oomycetes	Oomycetes	Pythiales	Pythiaceae	Pythium	Pythiumattrantheridium|AB512943
ASVO_4	Oomycetes	Oomycetes	Oomycetes	Pythiales	Pythiaceae	Pythium	Pythiumsylvaticum|HM051065
ASVO_5	Oomycetes	Oomycetes	Oomycetes	Pythiales	Pythiaceae	Pythium	Pythiumsp|DQ091298
ASVO_6	Oomycetes	Oomycetes	Oomycetes	Pythiales	Pythiogetonaceae	Pythiogeton	Pythiogetonsp|JQ610184
ASVO_7	Oomycetes	Oomycetes	Oomycetes	Pythiales	Pythiaceae	Pythium	PythiumarrhenomanesDrechsler|LC053668
ASVO_8	Oomycetes	Oomycetes	Oomycetes	Pythiales	Pythiaceae	Pythium	PythiumultimumTrow|HQ643869
ASVO_9	Oomycetes	Oomycetes	Oomycetes	Pythiales	Pythiaceae	Pythium	Pythiumtracheiphilum|GU259070
ASVO_10	Oomycetes	Oomycetes	Oomycetes	Saprolegniales	Saprolegniaceae	Aphanomyces	Aphanomycescladogamus|AY353912
ASVO_11	Oomycetes	Oomycetes	Oomycetes	Pythiales	Pythiaceae	Pythium	Pythiumaristosporum|GU259201
ASVO_12	Oomycetes	Oomycetes	Oomycetes	Pythiales	Pythiaceae	Pythium	Pythiumsp|HQ643563
ASVO_13	Oomycetes	Oomycetes	Oomycetes	Pythiales	Pythiaceae	Pythium	Pythiumamasculinum|EU334495
ASVO_14	Oomycetes	Oomycetes	Oomycetes	Pythiales	Pythiogetonaceae	Pythiogeton	Pythiogetonsp|JQ610184
ASVO_16	Oomycetes	Oomycetes	Oomycetes	Saprolegniales	Saprolegniaceae	Pythiopsis	PythiopsisintermediaCoker|KP098348
ASVO_17	Oomycetes	Oomycetes	Oomycetes	Pythiales	Pythiaceae	Pythium	Pythiumtorulosum|AB095046
ASVO_18	Oomycetes	Oomycetes	Oomycetes	Pythiales	Pythiogetonaceae	Pythiogeton	Pythiogetonsp|JQ610184
ASVO_19	Oomycetes	Oomycetes	Oomycetes	Pythiales	Pythiaceae	Pythium	Pythiumsp|HQ643563
ASVO_20	Oomycetes	Oomycetes	Oomycetes	Pythiales	Pythiaceae	Pythium	Pythiumsp|FJ415958
ASVO_21	Oomycetes	Oomycetes	Oomycetes	Pythiales	Pythiaceae	Pythium	Pythiumintermedium|AB512965
ASVO_22	Oomycetes	Oomycetes	Oomycetes	Pythiales	Pythiaceae	Pythium	Pythiumaff|JF431913
ASVO_23	Oomycetes	Oomycetes	Oomycetes	Pythiales	Pythiaceae	Pythium	Pythiumvanterpoolii|HQ643951
ASVO_24	Oomycetes	Oomycetes	Oomycetes	Pythiales	Pythiaceae	Pythium	Pythiumsp|HQ643563
ASVO_25	Oomycetes	Oomycetes	Oomycetes	Pythiales	Pythiaceae	Pythium	Pythiumsp|HQ643563
ASVO_26	Oomycetes	Oomycetes	Oomycetes	Pythiales	Pythiaceae	Pythium	Pythiumsp|HQ643561
ASVO_27	Oomycetes	Oomycetes	Oomycetes	Peronosporales	Phytophthora	Phytophthora	Phytophthorairanica|AJ131987
ASVO_28	Oomycetes	Oomycetes	Oomycetes	Peronosporales	Phytophthora	Phytophthora	Phytophthorasp|AB979997
ASVO_29	Oomycetes	Oomycetes	Oomycetes	Pythiales	Pythiaceae	Pythium	Pythiumorthogonon|AF216653
ASVO_30	Oomycetes	Oomycetes	Oomycetes	Pythiales	Pythiaceae	Pythium	Pythiumintermedium|AB512924
ASVO_31	Oomycetes	Oomycetes	Oomycetes	Pythiales	Pythiaceae	Pythium	Pythiumacanthicum|AB562916
ASVO_32	Oomycetes	Oomycetes	Oomycetes	Pythiales	Pythiaceae	Pythium	PythiumrostratifingensDeCock|JN630513
ASVO_33	Oomycetes	Oomycetes	Oomycetes	Pythiales	Pythiaceae	Pythium	Pythiumminus|DQ211521
ASVO_34	Oomycetes	Oomycetes	Oomycetes	Pythiales	Pythiaceae	Pythium	PythiummonospermumPringsh|JN630508
ASVO_35	Oomycetes	Oomycetes	Oomycetes	Lagenidiales	Lagenidiaceae	Lagenidium	Lagenidiumsp|HQ111472
ASVO_36	Oomycetes	Oomycetes	Oomycetes	Pythiales	Pythiaceae	Pythium	Pythiumsp|KF861547
ASVO_37	Oomycetes	Oomycetes	Oomycetes	Pythiales	Pythiaceae	Pythium	Pythiumsp|HQ643563
ASVO_38	Oomycetes	Oomycetes	Oomycetes	Pythiales	Pythiaceae	Pythium	Pythiumsylvaticum|HM051065
ASVO_39	Oomycetes	Oomycetes	Oomycetes	Pythiales	Pythiaceae	Pythium	Pythiumsp|AB512975
ASVO_40	Oomycetes	Oomycetes	Oomycetes	Pythiales	Pythiaceae	Pythium	Pythiumsp|DQ091298
ASVO_41	Oomycetes	Oomycetes	Oomycetes	Lagenidiales	Lagenidiaceae	Lagenidium	Lagenidiumsp|KJ506133
