Sample_ID	dry.weight.cob	dry.weight.plant	dry.weight.shoot	fresh.weight.cob	fresh.weight.shoot	stem.length	total.leaf.number
241H_RT	113.09	271.07	157.98	393.25	642.3	208	14
242H_RT	54.12	212.88	158.76	192.33	584.65	204	13
243H_RT	69.49	242.1	172.61	232.99	666	205	14
244H_RT	165.55	372.87	207.32	536.89	799.29	185	12
245H_RT	296.1	381.77	85.67	133.14	328.72	182	11
246H_RT	63.89	222.79	158.9	219.9	636.6	187	12
247H_RT	33.07	62.55	29.48	133.64	126.4	127	7
248H_RT	65.88	117.43	51.55	179.93	251.24	112	6
249H_RT	38.23	68.87	30.64	111.5	139.48	128	8
250H_RT	58.32	90.48	32.16	136.64	151.48	116	7
251H_RT	56.19	92.16	35.97	132.74	164.94	120	7
252H_RT	83.07	127.86	44.79	218.89	207.16	133	7
253H_RT	87.93	138.16	50.23	295.91	195.92	130	9
254H_RT	100.3	170.66	70.36	394.57	271.27	132	8
255H_RT	78.31	135.38	57.07	285.23	235.07	124	8
256H_RT	67.3	129.66	62.36	274.67	227.02	136	9
257H_RT	96.8	169.33	72.53	321.78	319.6	133	8
258H_RT	110.69	187.37	76.68	372.48	303.01	126	10
259H_RT	34.72	55.42	20.7	98.18	101.51	118	6
260H_RT	24.99	58.8	33.81	75.38	114.85	100	6
261H_RT	55.59	77.9	22.31	119.14	95.01	93	7
262H_RT	36.82	53.81	16.99	79.4	69.73	104	6
263H_RT	48.13	85.44	37.31	135.17	173.82	133	8
264H_RT	42.28	76.35	34.07	144.91	150.14	118	7
267H_RT	2.51	21.51	19	20.59	89	120	8
268H_RT	13.3	71.26	57.96	102.34	261.58	164	12
270H_RT	7.9	46.75	38.85	61.7	169.38	152	9
271H_RT	132.43	314.5	182.07	443	703.4	205	13
272H_RT	150.09	323.62	173.53	447	656.09	213	14
273H_RT	29.98	112.91	82.93	169.81	314.11	192	12
274H_RT	129.03	346.96	217.93	416.45	874.8	187	14
275H_RT	84.77	229.74	144.97	372.38	541.15	208	12
276H_RT	61.4	199.57	138.17	270.17	508.56	205	12
277H_RT	70.66	138.51	67.85	166.32	230.3	146	9
278H_RT	115.16	176.94	61.78	261.68	261.11	154	8
279H_RT	115.11	178.4	63.29	253.78	273.92	163	8
280H_RT	123.11	193.38	70.27	317.99	295.18	144	7
281H_RT	78.94	153.37	74.43	245.62	291.17	147	7
282H_RT	70.71	108.53	37.82	206.98	179.2	158	8
283H_RT	115.9	200.22	84.32	423.98	322.65	150	9
284H_RT	118.14	203.09	84.95	386.9	355.94	155	10
285H_RT	140.21	230.04	89.83	490.8	332.13	150	12
286H_RT	143.72	244.07	100.35	430.14	559.5	160	10
287H_RT	44.75	92.8	48.05	206.27	168.46	141	9
288H_RT	138.13	242.69	104.56	523.07	434.48	164	11
289H_RT	80.21	140.87	60.66	182.03	239.9	120	7
290H_RT	25.36	41.34	15.98	84.01	81.63	110	6
291H_RT	51.83	94.45	42.62	137.08	177.4	120	6
292H_RT	72.47	110.33	37.86	170.3	155.06	137	8
293H_RT	87.17	140.06	52.89	195.52	224.04	112	7
294H_RT	60.97	96.26	35.29	143.52	163.1	114	7
295H_RT	57.64	203.08	145.44	243.57	546.8	215	14
296H_RT	28.41	101.55	73.14	126.69	278.57	177	12
298H_RT	26.88	165.87	138.99	111.96	556.95	200	14
299H_RT	29.54	112.93	83.39	133.55	314.42	203	12
300H_RT	43.13	144.73	101.6	178.89	405.28	215	14
301H_RT	88.15	234.58	146.43	323.2	605.2	175	13
302H_RT	38.93	144.91	105.98	136.84	415.67	167	12
303H_RT	54.91	205.57	150.66	148.74	546.65	180	13
304H_RT	75.63	199.32	123.69	269.38	472.8	160	11
305H_RT	65.58	196.79	131.21	245.75	492.29	163	12
306H_RT	22.08	117.56	95.48	109.03	346.83	178	14
307H_RT	80.71	142.93	62.22	199.24	280.68	130	8
308H_RT	94.65	151.74	57.09	212.6	235.71	132	8
309H_RT	67.81	120.52	52.71	178.43	222.53	136	8
310H_RT	89.37	168.3	78.93	233.39	359.13	120	9
311H_RT	60.51	108.66	48.15	175.44	203.76	138	9
312H_RT	60.6	102.98	42.38	157.12	180.13	120	7
313H_RT	96.57	188.42	91.85	279.13	344.06	140	10
314H_RT	150.02	262.16	112.14	411.42	426.4	151	10
315H_RT	81.63	145.88	64.25	229.46	245.22	122	9
316H_RT	93.61	172.77	79.16	272.92	317.24	125	10
317H_RT	73.05	129.77	56.72	201.99	204.57	117	8
318H_RT	64.44	138.91	74.47	190.86	272.33	128	9
319H_RT	95.95	140.02	44.07	296.49	148.19	100	7
320H_RT	56.89	108	51.11	173.16	199.14	118	7
321H_RT	1.1	35.41	34.31	5.51	114.66	94	7
322H_RT	0	62.77	62.77	0	230.26	120	8
323H_RT	64.22	96.28	32.06	152.33	147.55	106	7
324H_RT	0	33.25	33.25	0	187.54	90	6
325H_RT	0	30.56	30.56	0	152.56	130	11
326H_RT	0	31.01	31.01	0	208.29	125	10
327H_RT	0	47.7	47.7	0	228.94	146	12
328H_RT	5.12	45.72	40.6	37.57	180.51	145	11
