Sample_ID	total_colonization_degree	myc_colonization_degree	no_colonization	hyphae	hyphae_arbuscules	hyphae_arbuscules_vesicles	hyphae_vesicles
RT_1H	50.00	13.33	50.00	34.67	13.33	0.00	2.00
RT_2H	46.00	6.00	54.00	40.00	6.00	0.00	0.00
RT_3H	38.00	9.33	62.00	28.67	9.33	0.00	0.00
RT_4H	25.77	3.09	74.23	22.68	3.09	0.00	0.00
RT_5H	40.44	10.29	59.56	30.15	10.29	0.00	0.00
RT_6H	27.64	0.00	72.36	27.64	0.00	0.00	0.00
RT_25H	28.00	0.00	72.00	28.00	0.00	0.00	0.00
RT_26H	23.33	0.00	76.67	23.33	0.00	0.00	0.00
RT_27H	13.13	0.00	86.88	13.13	0.00	0.00	0.00
RT_28H	10.67	0.00	89.33	10.67	0.00	0.00	0.00
RT_29H	8.67	0.00	91.33	8.67	0.00	0.00	0.00
RT_30H	19.35	0.00	80.65	19.35	0.00	0.00	0.00
RT_31H	22.50	0.00	77.50	22.50	0.00	0.00	0.00
RT_32H	47.96	8.16	52.04	39.80	8.16	0.00	0.00
RT_33H	29.88	0.61	70.12	29.27	0.61	0.00	0.00
RT_34H	47.65	15.44	52.35	32.21	14.77	0.67	0.00
RT_35H	57.02	19.01	42.98	38.02	19.01	0.00	0.00
RT_36H	61.90	25.85	38.10	36.05	23.13	2.72	0.00
RT_55H	13.08	0.00	86.92	13.08	0.00	0.00	0.00
RT_56H	26.24	0.00	73.76	26.24	0.00	0.00	0.00
RT_57H	56.64	0.70	43.36	55.94	0.70	0.00	0.00
RT_58H	29.55	0.00	70.45	29.55	0.00	0.00	0.00
RT_59H	27.13	1.55	72.87	21.71	1.55	0.00	3.88
RT_61H	47.77	1.91	52.23	43.95	1.91	0.00	1.91
RT_63H	31.33	0.67	68.67	30.00	0.67	0.00	0.67
RT_64H	54.47	10.57	45.53	42.28	9.76	0.81	1.63
RT_65H	27.34	0.78	72.66	23.44	0.78	0.00	3.13
RT_66H	32.56	0.00	67.44	32.56	0.00	0.00	0.00
RT_85H	9.17	0.83	90.83	8.33	0.83	0.00	0.00
RT_86H	25.47	0.00	74.53	25.47	0.00	0.00	0.00
RT_87H	16.67	0.00	83.33	16.67	0.00	0.00	0.00
RT_88H	12.41	0.69	87.59	11.72	0.69	0.00	0.00
RT_89H	19.63	0.00	80.37	19.63	0.00	0.00	0.00
RT_90H	16.50	0.00	83.50	16.50	0.00	0.00	0.00
RT_91H	32.46	2.63	67.54	29.82	2.63	0.00	0.00
RT_92H	50.70	9.86	49.30	38.03	7.04	2.82	2.82
RT_93H	67.16	20.90	32.84	41.79	16.42	4.48	4.48
RT_94H	56.16	18.49	43.84	37.67	18.49	0.00	0.00
RT_95H	46.50	16.56	53.50	29.30	16.56	0.00	0.64
RT_96H	57.94	30.16	42.06	26.19	30.16	0.00	1.59
RT_115H	21.19	3.39	78.81	17.80	3.39	0.00	0.00
RT_116H	47.22	12.96	52.78	34.26	11.11	1.85	0.00
RT_117H	15.71	2.14	84.29	13.57	2.14	0.00	0.00
RT_118H	12.61	0.00	87.39	12.61	0.00	0.00	0.00
RT_119H	14.81	0.00	85.19	12.96	0.00	0.00	1.85
RT_120H	6.98	0.00	93.02	6.20	0.00	0.00	0.78
RT_121H	34.58	0.93	65.42	33.64	0.93	0.00	0.00
RT_122H	36.03	1.47	63.97	33.82	0.74	0.74	0.74
RT_123H	66.36	14.02	33.64	51.40	9.35	4.67	0.93
RT_124H	76.19	47.62	23.81	26.98	39.68	7.94	1.59
RT_125H	46.24	23.66	53.76	22.58	19.35	4.30	0.00
RT_145H	7.92	5.94	92.08	1.98	5.94	0.00	0.00
RT_146H	9.71	4.85	90.29	4.85	4.85	0.00	0.00
RT_147H	14.29	4.46	85.71	8.93	4.46	0.00	0.89
RT_148H	14.29	1.79	85.71	8.93	1.79	0.00	3.57
RT_149H	12.50	0.00	87.50	12.50	0.00	0.00	0.00
RT_150H	33.70	1.09	66.30	31.52	1.09	0.00	1.09
RT_151H	58.49	22.64	41.51	35.85	22.64	0.00	0.00
RT_152H	53.33	8.67	46.67	44.67	8.00	0.67	0.00
RT_153H	47.26	11.64	52.74	35.62	11.64	0.00	0.00
RT_154H	64.29	26.53	35.71	37.76	26.53	0.00	0.00
RT_155H	55.17	15.17	44.83	37.93	13.79	1.38	2.07
RT_156H	50.00	36.36	50.00	13.64	35.61	0.76	0.00
RT_175H	58.50	5.44	41.50	53.06	5.44	0.00	0.00
RT_176H	16.00	0.00	84.00	16.00	0.00	0.00	0.00
RT_177H	12.23	0.00	87.77	12.23	0.00	0.00	0.00
RT_178H	15.15	1.01	84.85	14.14	1.01	0.00	0.00
RT_179H	14.06	0.00	85.94	14.06	0.00	0.00	0.00
RT_180H	6.45	0.81	93.55	5.65	0.81	0.00	0.00
RT_181H	64.15	41.51	35.85	22.64	40.88	0.63	0.00
RT_182H	50.96	22.29	49.04	28.03	22.29	0.00	0.64
RT_183H	34.91	28.40	65.09	5.33	27.22	1.18	1.18
RT_184H	52.63	35.53	47.37	15.79	28.95	6.58	1.32
RT_185H	77.30	66.87	22.70	10.43	63.80	3.07	0.00
RT_186H	66.88	46.25	33.13	20.63	46.25	0.00	0.00
RT_205H	38.82	3.29	61.18	35.53	3.29	0.00	0.00
RT_206H	16.41	2.34	83.59	14.06	2.34	0.00	0.00
RT_207H	17.33	0.67	82.67	16.67	0.67	0.00	0.00
RT_209H	9.92	0.00	90.08	9.92	0.00	0.00	0.00
RT_210H	25.63	14.38	74.38	11.25	14.38	0.00	0.00
RT_211H	14.93	3.73	85.07	11.19	3.73	0.00	0.00
RT_212H	63.39	14.29	36.61	45.54	11.61	2.68	3.57
RT_213H	74.42	23.26	25.58	46.51	23.26	0.00	4.65
RT_214H	41.67	20.37	58.33	20.37	19.44	0.93	0.93
RT_215H	59.33	26.00	40.67	33.33	25.33	0.67	0.00
RT_216H	80.74	30.37	19.26	50.37	30.37	0.00	0.00
RT_235H	25.81	4.84	74.19	20.97	4.84	0.00	0.00
RT_236H	13.93	0.82	86.07	13.11	0.82	0.00	0.00
RT_237H	29.69	3.13	70.31	26.56	2.34	0.78	0.00
RT_238H	33.99	0.00	66.01	33.99	0.00	0.00	0.00
RT_239H	36.00	0.00	64.00	36.00	0.00	0.00	0.00
RT_240H	26.24	0.00	73.76	26.24	0.00	0.00	0.00
241H_RT	58.22	13.70	41.78	43.15	12.33	1.37	1.37
242H_RT	74.07	59.26	25.93	13.58	37.65	21.61	1.24
243H_RT	60.26	21.80	39.74	36.54	17.95	3.85	1.92
244H_RT	65.16	20.65	34.84	42.58	20.65	0.00	1.94
245H_RT	59.36	32.26	40.64	26.45	30.32	1.94	0.65
246H_RT	57.14	35.72	42.86	20.78	34.42	1.30	0.65
271H_RT	78.98	53.50	21.02	22.29	33.12	20.38	3.19
272H_RT	77.30	22.09	22.70	52.76	17.18	4.91	2.45
273H_RT	69.94	34.97	30.06	33.13	20.25	14.72	1.84
274H_RT	67.72	15.19	32.28	46.84	12.66	2.53	5.70
275H_RT	74.36	51.93	25.64	22.44	41.67	10.26	0.00
276H_RT	86.06	66.06	13.94	14.55	43.03	23.03	5.46
301H_RT	50.98	11.76	49.02	16.18	2.94	8.82	6.86
302H_RT	73.91	44.10	26.09	26.71	16.15	27.95	3.12
303H_RT	75.00	44.74	25.00	26.97	27.63	17.11	3.29
304H_RT	73.08	65.39	26.92	7.05	30.13	35.26	0.64
305H_RT	68.99	48.10	31.01	17.72	19.62	28.48	3.17
306H_RT	74.85	56.89	25.15	16.77	30.54	26.35	1.20
331H_RT	65.59	36.02	34.41	28.49	30.11	5.91	1.08
332H_RT	91.89	52.70	8.11	12.16	7.43	45.27	27.03
333H_RT	65.85	25.61	34.15	35.37	14.63	10.98	4.88
334H_RT	68.00	44.66	32.00	22.00	17.33	27.33	1.33
335H_RT	60.61	33.33	39.39	27.27	28.48	4.85	0.00
336H_RT	84.34	68.68	15.66	17.47	29.52	39.16	1.21
361H_RT	74.68	42.40	25.32	27.85	31.01	11.39	4.43
362H_RT	71.61	20.64	28.39	41.29	14.19	6.45	9.68
363H_RT	54.43	24.05	45.57	27.85	21.52	2.53	2.53
364H_RT	64.50	53.25	35.50	11.24	52.07	1.18	0.00
365H_RT	57.31	39.76	42.69	16.96	36.84	2.92	0.59
366H_RT	78.79	55.76	21.21	16.36	20.00	35.76	6.67
391H_RT	61.59	19.21	38.41	38.41	14.57	4.64	3.97
392H_RT	78.53	53.99	21.47	21.47	34.36	19.63	3.07
393H_RT	86.83	74.85	13.17	10.18	47.90	26.95	1.80
394H_RT	85.44	46.83	14.56	27.85	26.58	20.25	10.76
395H_RT	82.63	50.90	17.37	31.14	44.31	6.59	0.60
396H_RT	72.68	51.03	27.32	20.62	37.63	13.40	1.03
421H_RT	75.00	53.13	25.00	18.75	35.63	17.50	3.13
422H_RT	87.01	64.12	12.99	15.29	32.94	31.18	7.65
423H_RT	85.33	68.48	14.67	16.30	59.24	9.24	0.54
424H_RT	64.74	37.82	35.26	23.08	35.26	2.56	3.85
425H_RT	75.16	63.05	24.84	12.10	57.32	5.73	1.91
426H_RT	85.54	66.26	14.46	17.47	51.20	15.06	1.81
451H_RT	64.00	21.71	36.00	41.71	20.00	1.71	0.57
452H_RT	49.35	27.27	50.65	20.78	22.73	4.54	1.30
453H_RT	57.23	40.97	42.77	16.27	39.16	1.81	0.00
454H_RT	62.02	42.41	37.98	17.09	36.71	5.70	2.53
455H_RT	69.94	61.27	30.06	5.20	58.38	2.89	3.47
456H_RT	60.45	37.29	39.55	18.08	30.51	6.78	5.09
