Sample_ID	PE.34.3	PE.36.6	PE.36.5	PE.36.4	PC.34.3	PC.34.2	MGDG.34.3	PC.36.6	PC.36.4	MGDG.36.6	MGDG.36.5	MGDG.36.4	DGDG.34.3	DGDG.34.2	DGDG.36.6	DGDG.36.4	DAG.34.2	DAG.36.5	DAG.36.4	PE.36.2	PC.34.1	MGDG.34.2	PC.36.2	MGDG.36.3_1	MGDG.36.2	DGDG.32.0	DGDG.34.1	DGDG.34.0	DGDG.36.2	DGDG.36.1	TAG.48.1	TAG.48.0	TAG.50.3	TAG.50.2	TAG.50.1	TAG.50.0	TAG.52.5	TAG.52.4	TAG.52.3	TAG.52.2	TAG.52.1	TAG.52.0	TAG.54.9	TAG.54.8	TAG.54.6	TAG.54.5	TAG.54.4	TAG.54.3	TAG.54.2	TAG.56.7	TAG.56.6	TAG.56.5	TAG.56.3	TAG.56.2	TAG.58.4	TAG.58.3	TAG.60.5	TAG.60.4	TAG.54.0	TAG.56.0	TAG.58.2	PS.38.2	PS.38.1	PS.38.0	PS.40.2	PS.40.1	PS.42.3	SQDG.32.0	SQDG.34.3	SQDG.34.2	SQDG.36.4
RT_1H	24.296141	20.02355742	25.41054037	28.70305804	27.52402561	30.93999719	23.32388599	24.34435009	31.2134986	28.33671003	25.96939003	26.80193329	26.77705862	29.19835511	28.01371761	28.0964755	23.02391201	18.90080768	23.25349666	24.48615742	26.13711748	26.31008019	27.57542476	22.4245983	23.28206582	24.22435032	25.15653493	20.52621075	26.80193329	21.28347557	28.68645607	26.99765776	25.39100019	28.6075256	27.13124091	23.95836863	27.70635563	29.96774218	26.50294201	27.20769297	25.09748051	23.69710332	21.28922923	26.05465532	30.87554848	27.58262026	27.53148141	25.94279582	26.25349666	21.54800555	23.11596662	23.55215498	23.20329214	24.81909384	21.26351095	21.07236195	20.36071487	23.44253049	26.23352196	24.68645607	23.39100019	25.28206582	27.95393638	24.22435032	25.04009303	25.36452798	19.14849992	20.56124142	24.82880899	25.62086773	24.59832516
RT_2H	23.52850371	18.32355224	24.64855946	28.34095951	26.68645607	30.72110221	22.65333012	23.4169954	30.90454836	27.73246847	25.65403459	26.40568008	26.18139312	28.986851	27.73246847	27.89735285	22.98515036	18.87729432	23.44253049	23.82880899	25.8117643	25.95171514	27.20769297	22.23053533	22.62076394	23.09706974	24.60964047	19.72592637	26.41538435	20.66696909	27.66627819	26.01903141	24.32388599	27.83243538	25.90884849	22.57166482	27.27141857	29.79110336	26.06291111	26.40568008	23.91342122	22.81409845	20.6225318	25.45826341	30.83845916	27.53148141	27.407302	25.52850371	25.49533685	20.18078792	23.28206582	23.71816493	22.43112519	23.75938759	21.40826857	20.08216282	20.02869929	23.44253049	25.44253049	23.89504269	22.40214851	24.81421162	27.71947113	23.80931282	24.89965932	25.04843233	19.66807872	20.461761	24.26069217	24.78456616	24.35783332
RT_3H	23.84804521	18.66035547	25.03170524	28.5089974	27.24445152	30.99496365	23.16627037	24.02749299	31.23649024	28.39509294	25.86702832	26.88576488	26.72598444	29.27364324	28.22158742	28.38277968	23.296141	18.93085512	23.72858155	23.63200829	26.06085159	26.60399391	27.19835511	22.5652712	23.10592529	24.33073966	25.42981944	20.64843263	26.63200829	21.05226721	28.70305804	26.69975289	25.49838372	28.7421402	26.56674252	23.45513053	27.71947113	30.37243774	26.52402561	26.76445858	25.03590523	24.11743511	20.62470944	25.80439733	31.26472392	27.81421162	27.62505553	26.26785196	26.80193329	22.26868662	23.84804521	24.7745474	25.04009303	25.50445824	23.5869204	23.93156857	21.02103567	24.02749299	26.39754303	24.65948902	23.86702832	25.20955332	28.07111992	23.97596269	25.1054955	24.89965932	19.27516195	20.49032855	24.89504269	25.46762147	24.89965932
RT_4H	24.26785196	20.30973013	25.51653107	28.88576488	27.84445791	31.23077659	22.95229095	24.42981944	31.413368	28.31527286	26.10149357	26.52252981	26.93156857	29.10649425	28.28029672	27.79575471	23.25349666	19.77081348	23.77956548	24.66492291	26.38442753	26.27319858	27.93156857	21.66794355	22.8540516	23.52850371	24.99765776	19.96684267	26.2298603	20.97224572	27.93156857	25.27497639	24.74919183	28.33671003	25.60399391	22.39053871	28.39509294	30.67134918	26.15460491	26.56092519	24.10149357	23.00832193	22.05442828	26.50597288	31.30334521	27.8915705	28.11644391	25.55215498	25.96057966	21.98891642	23.48000519	23.73892349	22.96151081	24.59263405	21.46605455	20.41238956	21.0147656	23.71816493	25.84565467	24.1718829	22.91253881	25.67572966	28.15557024	24.33756093	25.08942074	25.64581409	19.64456151	20.63932181	24.16422933	25.20955332	24.08537391
RT_5H	23.82880899	20.12276684	25.22802598	28.94558904	27.73892349	31.41840359	22.67465359	24.58118403	31.63720096	28.3786518	25.71292828	26.43459921	26.5180331	29.20069525	28.30225598	27.89735285	23.82880899	19.96976249	24.52252981	24.13320243	26.5089974	26.28736012	28.05050964	21.96848575	22.89779801	23.35110746	25.12927673	19.68616041	26.25889665	20.52749915	27.95393638	25.78706001	24.26069217	28.13124091	25.60399391	23.09225275	28.14102193	30.83845916	26.14491585	26.52701255	24.40405634	23.57542476	22.22502955	26.42342167	31.6628876	28.10649425	28.29351234	25.86938374	26.34604241	21.77711181	24.44253049	24.75429872	23.04906564	24.23899709	22.54999002	20.46130677	21.37995392	24.43618896	25.66492291	23.56383678	22.88439935	25.60399391	28.31958585	24.45513053	25.43936321	25.66220853	21.25793518	20.70080696	24.95393638	25.21326682	24.68110284
RT_6H	24.10948636	19.77263796	25.09345625	28.74534976	27.20769297	31.03485638	23.01756353	23.98467991	31.30334521	28.16997331	25.8312276	26.43300771	26.56964241	29.16758276	28.21233934	27.88576488	22.90185396	19.09693541	23.60964047	24.38442753	26.06702135	26.24081753	27.53148141	22.25836806	22.93120641	23.75938759	24.93156857	20.15183735	26.36786369	20.65170884	29.00838417	26.80193329	25.82880899	28.9511593	26.76445858	23.35110746	27.64581409	30.23077659	26.24445152	26.73892349	24.50445824	23.48000519	21.90970781	25.97158425	31.12386138	27.77705862	27.80808552	25.80193329	26.20209751	21.26162638	23.5869204	24.02749299	23.20283736	24.86702832	21.81693239	21.22617062	20.69771082	23.81909384	25.99334477	24.31008019	23.32388599	25.15267229	28.00303093	24.08537391	25.09748051	25.48615742	19.60101483	20.52829146	23.98467991	24.99334477	24.12534031
RT_25H	23.46762147	19.10853579	25.01478194	28.5202832	27.32388599	31.14223991	24.30312743	24.28912057	31.46295003	28.46295003	26.32388599	27.69975289	27.27141857	29.26695892	28.39917412	28.89735285	23.5869204	17.70693984	24.01051991	23.72858155	27.17949608	27.31527286	27.3661968	24.01903141	24.79451582	23.40405634	25.6180691	20.97081915	27.63200829	21.66629345	24.11743511	22.75711386	23.83845916	27.06085159	23.96719248	21.00764395	28.09143991	30.31958585	26.85043181	26.29438909	23.16676026	21.9400309	22.65721169	27.06085159	31.58441354	29.08131569	28.2030316	25.73117399	25.27852546	22.20888298	24.52850371	25.48615742	22.72869104	23.36452798	22.09692406	20.33599587	21.15299251	23.68645607	25.08537391	23.96719248	22.18411563	25.4137715	28.25799806	25.01903141	25.9179795	25.14491585	21.48051993	21.25140295	25.87408307	26.00410317	25.06496769
RT_27H	23.93156857	19.23578111	25.0567237	28.39100019	27.02960065	30.51088451	24.296141	24.16422933	31.09898672	28.306608	26.42822265	27.73892349	27.21697079	29.45904558	28.09143991	28.94558904	23.52850371	18.47142096	23.87642702	24.33756093	26.15073709	27.39917412	27.19835511	23.69710332	24.61526502	23.86702832	25.90426122	21.5286227	27.6389277	21.83723697	26.43300771	24.80439733	24.95393638	27.90311212	26.06085159	21.94513259	28.07622681	30.1723599	27.56819319	27.64581409	25.21697079	22.80115279	22.06558739	26.6180691	31.2018639	28.58262026	28.56456377	27.09143991	26.54921969	22.17688715	23.82880899	24.4169954	23.59832516	24.50445824	22.37274871	21.86367794	21.43493003	23.84804521	25.96939003	24.73892349	23.39100019	24.99334477	27.85043181	24.05258397	25.33073966	24.89041124	20.21734409	20.9299395	25.69710332	26.18895641	25.15653493
RT_31H	23.94949048	19.48734429	24.87642702	28.43141446	27.06085159	30.72110221	22.33693622	23.77956548	31.00838417	27.83243538	25.47382662	25.97158425	26.24626509	29.10649425	27.6389277	27.75174753	22.70512042	18.49771336	23.12833249	23.93156857	25.39754303	25.73117399	27.01903141	20.82902509	22.01450461	23.55215498	24.94949048	19.52275277	26.01051991	20.53021809	27.98141712	26.21697079	24.66492291	27.99765776	27.18895641	23.64306348	27.16038726	29.88285328	25.63200829	27.47846303	25.32388599	23.96719248	20.01220495	25.23899709	30.83092549	26.97596269	27.17949608	25.96499157	26.44411152	20.23252527	23.03940873	23.57542476	23.4169954	24.70767256	21.15299777	20.7003702	19.89509848	23.5869204	26.52551985	24.8239596	23.73892349	25.03170524	27.86820651	23.68645607	24.38442753	24.98032788	19.19821106	20.71712423	24.01051991	24.89504269	23.94949048
RT_32H	23.78954956	17.80831359	24.54037781	28.47846303	26.57398134	30.83092549	23.01337345	23.39100019	31.04791253	27.83243538	25.49838372	26.03590523	26.04843233	29.10399608	27.73246847	27.89735285	22.34246374	18.1228846	22.75929443	23.49228352	25.36452798	25.82152877	26.75174753	20.75362923	21.60998163	23.26785196	24.99334477	18.4285415	25.60681996	20.34222391	27.18895641	25.9627873	22.67050325	27.62505553	26.82638633	23.68645607	27.27141857	30.1723599	25.48615742	27.12139313	25.24626509	23.88576488	19.53014225	25.23534932	31.2134986	27.27141857	27.34942108	25.87642702	26.41054037	20.58671657	23.50445824	23.88576488	23.03565827	24.25349666	21.65138416	19.80052157	19.97049563	23.76951181	26.14491585	24.56383678	22.88342591	24.54037781	27.90884849	23.50445824	24.36452798	24.67572966	19.52568807	20.34072507	23.36452798	24.28912057	23.20209901
RT_33H	23.51653107	17.84717225	24.54627841	28.52775833	26.95393638	30.92592201	22.24101356	23.48000519	31.2018639	27.90884849	25.5869204	26.0232684	26.05878912	29.07367563	27.78331761	27.86820651	23.21353234	18.98022439	23.75938759	23.40405634	25.84086166	25.80193329	27.12139313	21.29960145	21.89399499	23.15757438	25.13320243	18.64334341	25.63478004	20.28002752	27.00838417	25.42342167	23.52850371	27.77705862	26.3959101	23.07733209	27.48615742	30.31958585	25.93606996	27.01903141	25.28912057	23.85756799	19.98143768	25.48615742	31.37761798	27.60399391	27.62505553	25.90655668	26.63200829	20.862608	23.88576488	24.20955332	23.36452798	24.46762147	21.96778193	20.2951316	20.28198095	24.03590523	26.2642765	24.50445824	23.00556442	24.88576488	27.95947457	23.93156857	24.94503083	24.91342122	20.16857125	20.76398388	24.0442687	24.42342167	23.86702832
RT_34H	23.91342122	19.02678196	24.94949048	28.59334667	27.24445152	31.06085159	22.38865811	23.86702832	31.20769297	28.28912057	25.53148141	25.92025326	26.12139313	29.10399608	27.93719312	27.72598444	23.10626244	19.42962679	23.57542476	24.10948636	25.92025326	25.86466904	27.68645607	21.0295801	22.39435841	23.49228352	25.20209751	19.62934097	26.04843233	20.82517215	28.24445152	26.81421162	25.0019579	28.19835511	27.84445791	24.33073966	27.62505553	30.184234	26.08739874	28.01903141	25.90426122	24.23169229	20.65201498	25.71554898	31.2018639	27.58978005	27.73892349	26.407302	26.78954956	22.01607374	23.49228352	24.11743511	23.87642702	25.06496769	21.78340842	21.05492699	20.73230226	23.89504269	26.48922372	24.67033641	23.89504269	25.14102193	28.05568988	23.86702832	24.85281446	25.36118453	18.73321358	20.94197175	23.93156857	24.68110284	23.94949048
RT_35H	24.11743511	19.04837884	25.24263567	28.80501268	27.53889888	31.09270045	22.72869727	24.01903141	31.27586448	28.47846303	25.73376179	26.16806119	26.65948902	29.23534932	28.05568988	27.89735285	23.44253049	19.89937573	23.92252343	24.32388599	26.00838417	26.08942074	27.69975289	21.38705651	22.60716955	23.93156857	25.15653493	20.19245477	26.28559751	20.98010924	28.62156654	26.83845916	25.49838372	28.74855219	27.75811706	24.53445298	27.99765776	30.52962107	26.19084106	27.986851	25.8811035	23.89504269	20.98692098	26.10349592	31.39304802	27.73892349	27.90311212	26.28912057	26.75174753	22.57705512	23.73892349	24.39754303	24.09345625	25.58978005	21.98624488	21.63646554	21.51594161	24.25349666	25.34095951	22.68490964	24.02749299	25.306608	28.08131569	23.97596269	24.87642702	25.34773273	19.03852064	20.71137198	24.43618896	24.89965932	24.11743511
RT_36H	23.98467991	19.12408647	25.07316485	28.61456315	27.25349666	31.09270045	22.32668526	24.01051991	31.28691967	28.04531074	25.51050728	25.89735285	26.33244801	29.16278975	27.77705862	27.70635563	23.22482913	19.75889236	23.84804521	24.01903141	25.92252343	25.87173532	27.49381099	21.16949212	22.0650859	22.93552514	24.76951181	19.37655891	26.0019579	20.20021423	26.26069217	25.05258397	23.36452798	27.67303556	25.85281446	22.88864181	28.02432571	30.61104867	25.9383154	26.77705862	24.44884426	22.95819169	20.78444411	25.94055735	31.36723883	27.63200829	27.79575471	25.49228352	25.72338264	21.38711043	23.98467991	24.3778248	22.73491383	23.69710332	22.03539147	19.90408993	20.99921314	24.07724602	25.48615742	23.89504269	22.78187364	25.15267229	28.12632542	24.03590523	24.91342122	25.14102193	20.81235744	20.49704116	24.67572966	24.88576488	24.03590523
RT_55H	23.46762147	18.35632584	24.81421162	28.42342167	27.08131569	30.93297676	23.48000519	23.83845916	31.25912121	28.31958585	26.05258397	27.41538435	26.72598444	29.34095951	28.08638668	28.70635563	23.91342122	18.75057072	24.31699961	23.74919183	26.06085159	27.11147766	27.11147766	23.55215498	24.14879929	23.35110746	25.77956548	20.25547745	26.90884849	21.2964043	24.05258397	24.01051991	23.62086773	27.6931198	25.31008019	22.31247585	28.08638668	30.80808552	26.53148141	26.69975289	24.39100019	23.02135618	21.78269265	26.45826341	31.70882388	28.35363334	28.11644391	25.95615421	26.13711748	21.88818769	24.66492291	25.24988541	23.28206582	23.88576488	22.85878001	20.66476253	21.64574866	24.65948902	25.75174753	24.69710332	23.1338562	25.00624526	28.01903141	24.07724602	25.32044691	24.75429872	20.70269471	21.05522338	25.20209751	25.45513053	24.84326015
