Sample_ID	Glucose	Fructose	Sucrose	Starch
RT_1H	22.7	7.6	4.2	0
RT_2H	20.1	3.5	1.5	0
RT_3H	28.4	8.5	5.4	0
RT_4H	38.9	5.9	3.6	0
RT_5H	19.7	4.3	7.3	0
RT_6H	20.1	5.1	3.3	0
RT_7H	10.6	2.3	6.9	0
RT_8H	11.3	3.9	7.4	0
RT_9H	10.9	1.1	8.2	0
RT_10H	7.3	0.7	6.1	0
RT_11H	19.7	2.7	12.4	0
RT_12H	10.9	1.1	12.6	0
RT_13H	15	4.2	3.8	0
RT_14H	16.5	6.2	4.6	0
RT_15H	14.3	3.6	2.5	0
RT_16H	22.1	4.1	10.9	0.1
RT_17H	18.1	4.3	7	0
RT_18H	19	3.8	2.7	0
RT_19H	8.5	1.3	4.9	0
RT_20H	8.3	2.5	5.4	0
RT_21H	14.7	4.3	6.3	0
RT_22H	5.9	1.2	4.3	0.1
RT_24H	14.8	2.1	9.8	2.5
RT_25H	18.3	5.5	5.4	0
RT_27H	8.7	5	4.4	0
RT_31H	13.7	4.6	4.8	0
RT_32H	19.3	4.4	2.9	0
RT_33H	14.9	2.4	7.5	0
RT_34H	12.2	1.6	6.1	0
RT_35H	19.5	3.1	8.6	0
RT_36H	17.2	3	9.3	0
RT_37H	16.3	2.4	2	0
RT_38H	12.8	1.7	2.1	0
RT_39H	17.1	2.3	0.9	0
RT_40H	9.1	0.7	5.3	0
RT_41H	21.7	2.4	5.8	0
RT_42H	12.2	1.9	2.6	0
RT_43H	24.9	5.3	3.5	0
RT_44H	18.4	4.1	4.8	0
RT_45H	17.5	4.3	10.2	0
RT_46H	19.1	3.4	13.1	0.2
RT_47H	29.6	7.3	7	0
RT_48H	9.3	1.6	6.1	0
RT_49H	16.4	3	3.6	9.4
RT_52H	20	1.6	7.1	0.1
RT_53H	18.4	2.4	3.9	0
RT_54H	14.3	2.1	4	0.3
RT_55H	8.5	2.4	6.7	0.4
RT_56H	9.1	2.4	7.4	0
RT_61H	32.8	2.9	10.5	0.3
RT_62H	32	2.3	13.2	0.4
RT_63H	20.9	2.7	13.3	0.1
RT_64H	12.9	0.7	15.5	0.3
RT_65H	14.8	1.4	14.8	0.2
RT_66H	19.6	1.3	11.7	0.3
RT_67H	8.8	0.7	6	0.3
RT_68H	15.7	0.6	10.3	0.4
RT_69H	5.6	0.5	7.8	0.3
RT_70H	3.2	0.2	7.1	0.1
RT_71H	4.9	0.7	8.3	0.1
RT_72H	2.7	0.3	6.4	0.1
RT_73H	23.7	2.3	13.9	1.7
RT_74H	21.9	2.1	14.7	0.1
RT_75H	7.4	0	16.9	0
RT_76H	14.6	1.4	17.2	0
RT_77H	14.6	0.9	14.2	0
RT_78H	12.8	0	15.8	0.3
RT_79H	25.3	2.3	18.1	0.7
RT_80H	32.6	4.9	10.1	0.3
RT_81H	12.7	1.4	12	0.1
RT_82H	3.5	0.3	10.5	0.3
RT_83H	13.6	4.2	16.2	0.4
RT_84H	11.9	0.7	14.2	0.1
RT_85H	1	0	18.3	0.1
RT_86H	4.3	0.3	15.6	0.3
RT_87H	12.5	0	27.4	0
RT_88H	2.9	0.4	20.3	0.2
RT_89H	4.4	0.3	28.3	0.1
RT_90H	9.8	0.5	23.6	0.6
RT_91H	8.9	0.8	12.3	0
RT_92H	7.8	0.7	16.8	0.1
RT_93H	10.8	0.5	22.5	0
RT_94H	4.2	0.5	9.9	0.1
RT_95H	9.8	0.7	10.7	0
RT_96H	10.7	0.5	13	0.1
RT_97H	9.4	0.9	6	0.2
RT_98H	11.3	0.6	9.1	0.1
RT_99H	2.6	0.3	5.9	0.2
RT_100H	2.8	0.2	5.2	0.1
RT_101H	1.8	0.2	4.8	0.3
RT_102H	8.1	0.9	8.1	0.4
RT_103H	7.7	0.5	16.2	0.1
RT_104H	8.1	0.2	13.5	0.4
RT_105H	3	0.2	18.6	0
RT_106H	3.9	0.2	8.4	0
RT_107H	7	0.4	11.4	0.5
RT_108H	4.5	0.3	14	0.3
RT_110H	24.8	2.9	15.9	0
RT_111H	12.6	1.4	8.9	0.1
RT_112H	6.1	0.6	9.1	0.1
RT_113H	5.1	1	8.4	0
RT_114H	1.4	0.1	11	11.4
RT_115H	1.7	0.2	12.4	0
RT_116H	2.6	0.2	11.9	0.3
RT_117H	2.2	0.1	12.2	0.1
RT_118H	3.5	0	20	0.1
RT_119H	2.2	0	8.5	0.2
RT_120H	4.6	0	7.5	0.5
RT_121H	37.2	7.1	3.9	0
RT_122H	34.8	5.6	2.8	0.3
RT_123H	35.3	7.1	2.7	0
RT_124H	28.2	5.1	5	0.1
RT_125H	30.2	5.3	4.6	0
RT_126H	20.1	3.8	5.6	0
RT_127H	9.5	1.9	1	0
RT_128H	9.4	1.9	4.1	0
RT_129H	4.8	0.9	4.2	0
RT_130H	21.2	5.7	27.9	0
RT_131H	10.1	2.3	3.7	0
RT_132H	5.6	1.1	7.3	0
RT_133H	15.3	5.2	3.2	0
RT_134H	10.5	5.6	2.9	1.6
RT_135H	11.9	8.6	11.6	1
RT_136H	7.1	1.8	9.1	0.6
RT_137H	18.6	9.9	7.5	0.3
RT_138H	4.6	0.7	5.1	0.4
RT_139H	10.2	1	5.5	0.5
RT_140H	6.4	2.2	3	0
RT_141H	4	1	4.5	0.3
RT_142H	10.2	1.1	6.9	0.2
RT_143H	13.4	0.8	16.4	0.3
RT_144H	16.4	1.5	13.7	0.1
RT_145H	2.4	0.5	4.7	0.7
RT_146H	16.2	13.3	8.2	0.5
RT_147H	6.5	8.1	9.1	0.8
RT_148H	3.5	2.1	9.6	0.8
RT_149H	4.1	2.7	4	1.1
RT_150H	2.1	0.3	9	0.4
RT_151H	9.9	1.2	11.5	0.4
RT_152H	12.2	0.5	7.3	0.3
RT_153H	15.7	0.6	14.1	0.3
RT_154H	14	1.8	14.2	0.3
RT_155H	10.4	3.1	9.8	0
RT_156H	8.5	1.1	5.7	0.3
RT_157H	3.6	0.1	6.1	0.1
RT_158H	10.1	1.1	6.4	0.3
RT_159H	4.8	0	5.6	0.1
RT_160H	4.5	0.4	3.4	0.3
RT_161H	3.9	0.2	5.6	0.1
RT_162H	1.3	0.2	3.2	0.3
RT_163H	21.8	2.2	12.8	0.4
RT_164H	11.1	1.2	10.2	0.3
RT_165H	7.8	0	7.9	0.3
RT_166H	11	1.6	7.5	0.3
RT_167H	9.9	2.2	13.5	0
RT_168H	11.5	1.6	9.4	0.6
RT_169H	2.1	0.2	7.9	0
RT_170H	28.8	1.2	10.3	0
RT_171H	7.1	0.9	6.1	0
RT_172H	7.5	1.3	6.5	0.1
RT_173H	26.5	2.1	12.8	0
RT_174H	6.9	1.1	7.9	0
RT_175H	2.9	0.3	14.5	0
RT_176H	1.6	0.1	7.7	0.3
RT_177H	2	0	9.3	0.1
RT_178H	3.9	0.4	13.9	0
