Group1	Group2	Significance	Sig	FDR	Sig_FDR
NK_Reproductive	NK_Vegetative	3.7492347826508e-10	TRUE	3.7492347826508e-09	TRUE
NPK_Reproductive	NPK_Vegetative	0.111158228934064	FALSE	0.185263714890107	FALSE
CONMIN_Reproductive	CONMIN_Vegetative	0.0112277021422905	TRUE	0.022455404284581	TRUE
BIODYN_Reproductive	BIODYN_Vegetative	0.329691508033316	FALSE	0.376303939736706	FALSE
NK	NPK	0.275480650827251	FALSE	0.376303939736706	FALSE
NK	CONMIN	0.373919204036738	FALSE	0.376303939736706	FALSE
NK	BIODYN	0.000158500583125078	TRUE	0.000528335277083593	TRUE
NPK	CONMIN	0.376303939736706	FALSE	0.376303939736706	FALSE
NPK	BIODYN	0.0018866019681417	TRUE	0.00471650492035425	TRUE
CONMIN	BIODYN	8.94795941966071e-10	TRUE	4.47397970983035e-09	TRUE
