Group1	Group2	Significance	Sig	FDR	Sig_FDR
NK_Reproductive	NK_Vegetative	0.389818804136445	FALSE	0.389818804136445	FALSE
NPK_Reproductive	NPK_Vegetative	0.313624666241563	FALSE	0.348471851379514	FALSE
CONMIN_Reproductive	CONMIN_Vegetative	0.0109338284375684	TRUE	0.0182230473959473	TRUE
BIODYN_Reproductive	BIODYN_Vegetative	9.59542421973614e-08	TRUE	4.79771210986807e-07	TRUE
NK	NPK	0.0291975151047975	TRUE	0.0417107358639964	TRUE
NK	CONMIN	3.69411000648346e-05	TRUE	0.000123137000216115	TRUE
NK	BIODYN	4.55614053229579e-08	TRUE	4.55614053229579e-07	TRUE
NPK	CONMIN	0.245822702245075	FALSE	0.307278377806344	FALSE
NPK	BIODYN	0.0057764014869966	TRUE	0.013051247853489	TRUE
CONMIN	BIODYN	0.00652562392674452	TRUE	0.013051247853489	TRUE
