Stage	Management	Genotype_1	Genotype_2	p_value	Fold_change	Meta	Sig	FDR	Sig_FDR
VG	NK	B73	pht1;6	1	0	dry.weight.cob	FALSE	1	FALSE
VG	NK	B73	pht1;6	0.00499812476508246	-9.62393162393162	dry.weight.shoot	TRUE	0.0336237484196456	TRUE
VG	NK	B73	pht1;6	0.00499812476508246	-2.32575757575758	stem.length	TRUE	0.0336237484196456	TRUE
VG	NK	B73	pht1;6	0.00447925889184641	-1.25806451612903	total.leaf.number	TRUE	0.0336237484196456	TRUE
VG	NPK	B73	pht1;6	1	0	dry.weight.cob	FALSE	1	FALSE
VG	NPK	B73	pht1;6	0.00432900432900433	-5.28046875	dry.weight.shoot	TRUE	0.0336237484196456	TRUE
VG	NPK	B73	pht1;6	0.00432900432900433	-2.11282051282051	stem.length	TRUE	0.0336237484196456	TRUE
VG	NPK	B73	pht1;6	0.0156117144160936	-1.27741935483871	total.leaf.number	TRUE	0.0669719922777349	FALSE
RP	NK	B73	pht1;6	0.0238095238095238	-16.0742302825812	dry.weight.cob	TRUE	0.0686456400742116	FALSE
RP	NK	B73	pht1;6	0.0238095238095238	-4.06372506691996	dry.weight.shoot	TRUE	0.0686456400742116	FALSE
RP	NK	B73	pht1;6	0.0238095238095238	-1.34288990825688	stem.length	TRUE	0.0686456400742116	FALSE
RP	NK	B73	pht1;6	0.0864572650258222	-1.31034482758621	total.leaf.number	FALSE	0.152329466950258	FALSE
RP	NPK	B73	pht1;6	0.0173160173160173	-2.63873922413793	dry.weight.cob	TRUE	0.0686456400742116	FALSE
RP	NPK	B73	pht1;6	0.177489177489177	-1.44315836036567	dry.weight.shoot	FALSE	0.27411076895613	FALSE
RP	NPK	B73	pht1;6	0.926932516081649	1.00165289256198	stem.length	FALSE	0.979900088429172	FALSE
RP	NPK	B73	pht1;6	0.613833914186036	1.02857142857143	total.leaf.number	FALSE	0.726779354396267	FALSE
VG	NK	B73	pht1;6	0.0651329583653367	-1.85061728395062	Glucose	FALSE	0.126603934987168	FALSE
VG	NK	B73	pht1;6	0.857142857142857	-1.10793650793651	Fructose	FALSE	0.915936049510057	FALSE
VG	NK	B73	pht1;6	0.502430328024532	1.16205533596838	Sucrose	FALSE	0.614542880558932	FALSE
VG	NPK	B73	pht1;6	0.0714285714285714	-1.83333333333333	Glucose	FALSE	0.126603934987168	FALSE
VG	NPK	B73	pht1;6	0.393153437674003	-1.32638888888889	Fructose	FALSE	0.506982872200264	FALSE
VG	NPK	B73	pht1;6	1	1.07908163265306	Sucrose	FALSE	1	FALSE
RP	NK	B73	pht1;6	0.00865800865800866	-2.10318664643399	Glucose	TRUE	0.0483541615617087	TRUE
RP	NK	B73	pht1;6	0.0449512427024494	-1.86538461538462	Fructose	TRUE	0.10559974476131	FALSE
RP	NK	B73	pht1;6	0.0151515151515152	2	Sucrose	TRUE	0.0659536541889485	FALSE
RP	NPK	B73	pht1;6	0.0151515151515152	-1.88207985143918	Glucose	TRUE	0.0659536541889485	FALSE
RP	NPK	B73	pht1;6	0.297106983547093	-1.04406779661017	Fructose	FALSE	0.418779367285426	FALSE
RP	NPK	B73	pht1;6	0.025974025974026	4.92857142857143	Sucrose	TRUE	0.0686456400742116	FALSE
VG	NK	B73	pht1;6	0.0714285714285714	-4.83058305830583	Asn	FALSE	0.126603934987168	FALSE
VG	NK	B73	pht1;6	0.857142857142857	-1.20461445051609	Gln	FALSE	0.915936049510057	FALSE
VG	NK	B73	pht1;6	0.314412654978736	-1.66197183098592	Ala	FALSE	0.428876248265926	FALSE
VG	NK	B73	pht1;6	0.240525733773069	-1.41111111111111	Tyr	FALSE	0.355978085984142	FALSE
VG	NK	B73	pht1;6	1	-1.33333333333333	Met	FALSE	1	FALSE
VG	NK	B73	pht1;6	0.61281394899038	-1.92156862745098	Lys	FALSE	0.726779354396267	FALSE
VG	NPK	B73	pht1;6	0.0714285714285714	-2.37325349301397	Asn	FALSE	0.126603934987168	FALSE
VG	NPK	B73	pht1;6	0.142857142857143	1.92785234899329	Gln	FALSE	0.228571428571429	FALSE
VG	NPK	B73	pht1;6	0.428571428571429	1.33937397034596	Ala	FALSE	0.535262206148283	FALSE
VG	NPK	B73	pht1;6	1	1.29113924050633	Tyr	FALSE	1	FALSE
VG	NPK	B73	pht1;6	0.201242620957724	-Inf	Met	FALSE	0.305475978479417	FALSE
VG	NPK	B73	pht1;6	0.311479889706999	1.69565217391304	Lys	FALSE	0.426842811820702	FALSE
RP	NK	B73	pht1;6	0.0151515151515152	-2.51618211738892	Asn	TRUE	0.0659536541889485	FALSE
RP	NK	B73	pht1;6	0.17965367965368	1.24273412271259	Gln	FALSE	0.27411076895613	FALSE
RP	NK	B73	pht1;6	0.0411255411255411	-1.93089887640449	Ala	TRUE	0.0973852813852813	FALSE
RP	NK	B73	pht1;6	0.0303479417395604	-1.94866071428571	Tyr	TRUE	0.0761270402958464	FALSE
RP	NK	B73	pht1;6	0.404656761927286	-Inf	Met	FALSE	0.516286213493434	FALSE
RP	NK	B73	pht1;6	0.2954062811583	-1.38372093023256	Lys	FALSE	0.418374446042377	FALSE
RP	NPK	B73	pht1;6	0.818181818181818	1.55574565155403	Asn	FALSE	0.883875248838752	FALSE
RP	NPK	B73	pht1;6	0.025974025974026	6.3241265776477	Gln	TRUE	0.0686456400742116	FALSE
RP	NPK	B73	pht1;6	0.818181818181818	1.11326957561267	Ala	FALSE	0.883875248838752	FALSE
RP	NPK	B73	pht1;6	0.484848484848485	1.32650448143406	Tyr	FALSE	0.595498554004778	FALSE
RP	NPK	B73	pht1;6	0.00752631516645789	9	Met	TRUE	0.0483541615617087	TRUE
RP	NPK	B73	pht1;6	0.0198051234581123	2.53125	Lys	TRUE	0.0686456400742116	FALSE
VG	NK	B73	pht1;6	0.588744588744589	1.49795170544421	Mg	FALSE	0.702695154308058	FALSE
VG	NK	B73	pht1;6	0.025974025974026	-1.4260063613256	P	TRUE	0.0686456400742116	FALSE
VG	NK	B73	pht1;6	0.025974025974026	1.55447146714005	S	TRUE	0.0686456400742116	FALSE
VG	NK	B73	pht1;6	0.0151515151515152	1.3040137886728	K	TRUE	0.0659536541889485	FALSE
VG	NK	B73	pht1;6	0.699134199134199	1.71778926865348	Ca	FALSE	0.789861537953141	FALSE
VG	NK	B73	pht1;6	0.393939393939394	3.88269706002594	Ni	FALSE	0.506982872200264	FALSE
VG	NK	B73	pht1;6	0.818181818181818	1.85061392160643	Cu	FALSE	0.883875248838752	FALSE
VG	NK	B73	pht1;6	0.30952380952381	1.5748172679947	Zn	FALSE	0.426135105204873	FALSE
VG	NK	B73	pht1;6	0.0151515151515152	-1.37685323666423	Rb	TRUE	0.0659536541889485	FALSE
VG	NK	B73	pht1;6	0.393939393939394	2.15403186722198	Mo	FALSE	0.506982872200264	FALSE
VG	NK	B73	pht1;6	0.00216450216450216	2.85414507640992	Cd	TRUE	0.0237293570626903	TRUE
VG	NPK	B73	pht1;6	0.025974025974026	-1.21094657858612	Mg	TRUE	0.0686456400742116	FALSE
VG	NPK	B73	pht1;6	0.00216450216450216	-1.49750550630649	P	TRUE	0.0237293570626903	TRUE
VG	NPK	B73	pht1;6	0.937229437229437	1.01872199951707	S	FALSE	0.983758558226643	FALSE
VG	NPK	B73	pht1;6	0.17965367965368	1.13994418318656	K	FALSE	0.27411076895613	FALSE
VG	NPK	B73	pht1;6	0.025974025974026	-1.52377009012784	Ca	TRUE	0.0686456400742116	FALSE
VG	NPK	B73	pht1;6	0.00865800865800866	-2.60571436278676	Ni	TRUE	0.0483541615617087	TRUE
VG	NPK	B73	pht1;6	0.0151515151515152	-1.91339017691175	Cu	TRUE	0.0659536541889485	FALSE
VG	NPK	B73	pht1;6	0.00432900432900433	-1.54710475412804	Zn	TRUE	0.0336237484196456	TRUE
VG	NPK	B73	pht1;6	0.393939393939394	-1.1123433886415	Rb	FALSE	0.506982872200264	FALSE
VG	NPK	B73	pht1;6	0.0649350649350649	-2.97217091671337	Mo	FALSE	0.126603934987168	FALSE
VG	NPK	B73	pht1;6	0.17965367965368	1.23616659333419	Cd	FALSE	0.27411076895613	FALSE
RP	NK	B73	pht1;6	0.393939393939394	-2.2172199925051	Mg	FALSE	0.506982872200264	FALSE
RP	NK	B73	pht1;6	0.00216450216450216	-1.59171055674215	P	TRUE	0.0237293570626903	TRUE
RP	NK	B73	pht1;6	0.00432900432900433	1.90869746331286	S	TRUE	0.0336237484196456	TRUE
RP	NK	B73	pht1;6	0.484848484848485	-1.34659452143703	K	FALSE	0.595498554004778	FALSE
RP	NK	B73	pht1;6	0.937229437229437	-2.59644932184751	Ca	FALSE	0.983758558226643	FALSE
RP	NK	B73	pht1;6	0.30952380952381	-1.62538481933944	Ni	FALSE	0.426135105204873	FALSE
RP	NK	B73	pht1;6	0.588744588744589	-2.56097436194118	Cu	FALSE	0.702695154308058	FALSE
RP	NK	B73	pht1;6	0.393939393939394	-1.01286743681275	Zn	FALSE	0.506982872200264	FALSE
RP	NK	B73	pht1;6	0.0151515151515152	-2.40228669192528	Rb	TRUE	0.0659536541889485	FALSE
RP	NK	B73	pht1;6	0.025974025974026	-4.18943736222529	Mo	TRUE	0.0686456400742116	FALSE
RP	NK	B73	pht1;6	0.24025974025974	1.2709913283649	Cd	FALSE	0.355978085984142	FALSE
RP	NPK	B73	pht1;6	0.30952380952381	-1.22159889796338	Mg	FALSE	0.426135105204873	FALSE
RP	NPK	B73	pht1;6	0.0649350649350649	-1.53807891858139	P	FALSE	0.126603934987168	FALSE
RP	NPK	B73	pht1;6	0.699134199134199	1.04682135965106	S	FALSE	0.789861537953141	FALSE
RP	NPK	B73	pht1;6	0.132034632034632	1.28174750255841	K	FALSE	0.219563208327253	FALSE
RP	NPK	B73	pht1;6	0.17965367965368	-1.3058989594926	Ca	FALSE	0.27411076895613	FALSE
RP	NPK	B73	pht1;6	0.393939393939394	-1.19621577283218	Ni	FALSE	0.506982872200264	FALSE
RP	NPK	B73	pht1;6	0.0151515151515152	-1.54002056803672	Cu	TRUE	0.0659536541889485	FALSE
RP	NPK	B73	pht1;6	0.24025974025974	-1.40365181811207	Zn	FALSE	0.355978085984142	FALSE
RP	NPK	B73	pht1;6	0.30952380952381	-1.04131331698578	Rb	FALSE	0.426135105204873	FALSE
RP	NPK	B73	pht1;6	0.00216450216450216	-2.2064152502478	Mo	TRUE	0.0237293570626903	TRUE
RP	NPK	B73	pht1;6	0.818181818181818	1.03777456660158	Cd	FALSE	0.883875248838752	FALSE
VG	NK	B73	pht1;6	0.642857142857143	-1.01894804355392	PE.36.6	FALSE	0.731868131868132	FALSE
VG	NK	B73	pht1;6	0.428571428571429	-1.00475520918115	PE.36.5	FALSE	0.535262206148283	FALSE
VG	NK	B73	pht1;6	0.428571428571429	-1.00817569836684	PE.36.4	FALSE	0.535262206148283	FALSE
VG	NK	B73	pht1;6	0.0714285714285714	1.05813141243661	MGDG.34.3	FALSE	0.126603934987168	FALSE
VG	NK	B73	pht1;6	1	1.00397506468652	PC.36.6	FALSE	1	FALSE
VG	NK	B73	pht1;6	1	-1.00012063309405	PC.36.4	FALSE	1	FALSE
VG	NK	B73	pht1;6	0.642857142857143	1.00579055855512	MGDG.36.6	FALSE	0.731868131868132	FALSE
VG	NK	B73	pht1;6	0.0714285714285714	1.02011281372892	MGDG.36.5	FALSE	0.126603934987168	FALSE
VG	NK	B73	pht1;6	0.0714285714285714	1.04284150722949	MGDG.36.4	FALSE	0.126603934987168	FALSE
VG	NK	B73	pht1;6	0.0714285714285714	1.02355291884242	DGDG.34.3	FALSE	0.126603934987168	FALSE
VG	NK	B73	pht1;6	0.142857142857143	1.00711350899014	DGDG.34.2	FALSE	0.228571428571429	FALSE
VG	NK	B73	pht1;6	0.642857142857143	1.00420221230644	DGDG.36.6	FALSE	0.731868131868132	FALSE
VG	NK	B73	pht1;6	0.0651329583653367	1.03318346733553	DGDG.36.4	FALSE	0.126603934987168	FALSE
VG	NK	B73	pht1;6	0.285714285714286	1.00930539796441	DAG.36.4	FALSE	0.406593406593407	FALSE
VG	NK	B73	pht1;6	0.285714285714286	1.01924263491789	PC.34.1	FALSE	0.406593406593407	FALSE
VG	NK	B73	pht1;6	0.0714285714285714	1.04107497874205	MGDG.34.2	FALSE	0.126603934987168	FALSE
VG	NK	B73	pht1;6	0.0714285714285714	1.07537232288224	MGDG.36.3_1	FALSE	0.126603934987168	FALSE
VG	NK	B73	pht1;6	0.0714285714285714	1.07652983404106	MGDG.36.2	FALSE	0.126603934987168	FALSE
VG	NK	B73	pht1;6	0.0714285714285714	1.02870125766797	DGDG.34.1	FALSE	0.126603934987168	FALSE
VG	NK	B73	pht1;6	0.0714285714285714	1.04478005741811	DGDG.36.2	FALSE	0.126603934987168	FALSE
VG	NK	B73	pht1;6	0.0714285714285714	1.04279862084635	DGDG.36.1	FALSE	0.126603934987168	FALSE
VG	NK	B73	pht1;6	0.0714285714285714	-1.12066068359452	TAG.48.1	FALSE	0.126603934987168	FALSE
VG	NK	B73	pht1;6	0.0714285714285714	-1.10439728684884	TAG.48.0	FALSE	0.126603934987168	FALSE
VG	NK	B73	pht1;6	0.428571428571429	-1.02510484287104	TAG.50.3	FALSE	0.535262206148283	FALSE
VG	NK	B73	pht1;6	0.401840684465483	-1.04993963052345	TAG.50.1	FALSE	0.514912738535857	FALSE
VG	NK	B73	pht1;6	0.0714285714285714	-1.07729987893972	TAG.50.0	FALSE	0.126603934987168	FALSE
