Group1	Group2	Significance	Sig	FDR	Sig_FDR
B73	pht1;6	0.0121133799808327	TRUE	0.0266494359578319	TRUE
RP_NK	RP_NPK	0.0397141382326928	TRUE	0.0485395022844023	TRUE
VG_NK	VG_NPK	0.0362965205001674	TRUE	0.0485395022844023	TRUE
RP_NK_B73	RP_NK_pht1;6	0.0238095238095238	TRUE	0.0436507936507936	TRUE
RP_NPK_B73	RP_NPK_pht1;6	0.926932516081649	FALSE	0.926932516081649	FALSE
VG_NK_B73	VG_NK_pht1;6	0.00499812476508246	TRUE	0.018326457471969	TRUE
VG_NPK_B73	VG_NPK_pht1;6	0.00432900432900433	TRUE	0.018326457471969	TRUE
RP_B73_NK	RP_B73_NPK	0.224839235807913	FALSE	0.247323159388704	FALSE
RP_pht1;6_NK	RP_pht1;6_NPK	0.0357700822324908	TRUE	0.0485395022844023	TRUE
VG_B73_NK	VG_B73_NPK	0.00796941302412179	TRUE	0.0219158858163349	TRUE
VG_pht1;6_NK	VG_pht1;6_NPK	0.00216450216450216	TRUE	0.018326457471969	TRUE
