Taxon	Total_MSE	Group
OTU_11	1061.34743206584	Dynamic
OTU_4	990.234028943102	Stable
OTU_15	934.49707015401	Stable
OTU_21	798.192555028685	Dynamic
OTU_80	750.559581822703	Dynamic
OTU_8	744.174620877082	Stable
OTU_53	728.668462678519	Stable
OTU_132	640.262380660611	Dynamic
OTU_3	622.917169504296	Stable
OTU_34	599.35121606364	Stable
OTU_505	517.174778992857	Dynamic
OTU_16	503.75322897377	Stable
OTU_109	502.883666118389	Dynamic
OTU_1	499.52506409746	Stable
OTU_12	474.626682134266	Stable
OTU_93	471.731347318072	Dynamic
OTU_89	461.950742582349	Dynamic
OTU_494	456.592996534566	Dynamic
OTU_52	430.344045491064	Dynamic
OTU_30	392.176870740246	Dynamic
OTU_58	375.892459320941	Stable
OTU_67	338.133795373471	Dynamic
OTU_51	332.937066427194	Dynamic
OTU_75	320.323505219567	Stable
OTU_7	302.003910202913	Stable
