Group1	Group2	Significance	Sig	FDR	Sig_FDR
B73	pht1;6	0.000681351522732796	TRUE	0.00749486675006076	TRUE
RP_NK	RP_NPK	0.766432483924744	FALSE	0.843075732317218	FALSE
VG_NK	VG_NPK	0.0487882361566509	TRUE	0.067083824715395	FALSE
RP_NK_B73	RP_NK_pht1;6	0.0238095238095238	TRUE	0.0436507936507936	TRUE
RP_NPK_B73	RP_NPK_pht1;6	0.177489177489177	FALSE	0.216931216931216	FALSE
VG_NK_B73	VG_NK_pht1;6	0.00499812476508246	TRUE	0.0173248654619049	TRUE
VG_NPK_B73	VG_NPK_pht1;6	0.00432900432900433	TRUE	0.0173248654619049	TRUE
RP_B73_NK	RP_B73_NPK	1	FALSE	1	FALSE
RP_pht1;6_NK	RP_pht1;6_NPK	0.0357142857142857	TRUE	0.0561224489795918	FALSE
VG_B73_NK	VG_B73_NPK	0.0173160173160173	TRUE	0.0380952380952381	TRUE
VG_pht1;6_NK	VG_pht1;6_NPK	0.00629995107705632	TRUE	0.0173248654619049	TRUE
