Group1	Group2	Significance	Sig	FDR	Sig_FDR
B73	pht1;6	0.00036960976345827	TRUE	0.00406570739804097	TRUE
RP_NK	RP_NPK	0.126837230555332	FALSE	0.232534922684775	FALSE
VG_NK	VG_NPK	1	FALSE	1	FALSE
RP_NK_B73	RP_NK_pht1;6	0.0864572650258222	FALSE	0.190205983056809	FALSE
RP_NPK_B73	RP_NPK_pht1;6	0.613833914186036	FALSE	0.952159310754676	FALSE
VG_NK_B73	VG_NK_pht1;6	0.00447925889184641	TRUE	0.0246359239051553	TRUE
VG_NPK_B73	VG_NPK_pht1;6	0.0156117144160936	TRUE	0.0572429528590099	FALSE
RP_B73_NK	RP_B73_NPK	0.865338612252804	FALSE	0.952159310754676	FALSE
RP_pht1;6_NK	RP_pht1;6_NPK	0.0600196292574744	FALSE	0.165053980458055	FALSE
VG_B73_NK	VG_B73_NPK	0.762068931198003	FALSE	0.952159310754676	FALSE
VG_pht1;6_NK	VG_pht1;6_NPK	0.865599373413342	FALSE	0.952159310754676	FALSE
