Group1	Group2	Significance	Sig	FDR	Sig_FDR
Dent	Flint	0.564630536158583	FALSE	0.645292041324095	FALSE
1_B73	2_DK105	0.000575578567227794	TRUE	0.00131560815366353	TRUE
1_B73	3_PH207	0.000906018544000544	TRUE	0.00161069963377874	TRUE
1_B73	4_F2	0.926532700013683	FALSE	0.926532700013683	FALSE
1_B73	5_pht1;6	0.445856966730893	FALSE	0.548747035976484	FALSE
2_DK105	3_PH207	0.862865347444856	FALSE	0.92038970394118	FALSE
2_DK105	4_F2	0.000200651868865042	TRUE	0.000535071650306779	TRUE
2_DK105	5_pht1;6	0.00240475740785282	TRUE	0.00384761185256451	TRUE
3_PH207	4_F2	0.00070321369134516	TRUE	0.00140642738269032	TRUE
3_PH207	5_pht1;6	0.00631083680906141	TRUE	0.00917939899499842	TRUE
4_F2	5_pht1;6	0.34641712841296	FALSE	0.461889504550613	FALSE
1_B73_Reproductive	1_B73_Vegetative	1.43791636980026e-20	TRUE	2.30066619168042e-19	TRUE
2_DK105_Reproductive	2_DK105_Vegetative	1.55385258716605e-12	TRUE	8.28721379821893e-12	TRUE
3_PH207_Reproductive	3_PH207_Vegetative	6.58127200591207e-14	TRUE	5.26501760472966e-13	TRUE
4_F2_Reproductive	4_F2_Vegetative	1.28264650141697e-10	TRUE	5.13058600566788e-10	TRUE
5_pht1;6_Reproductive	5_pht1;6_Vegetative	7.81711742353323e-09	TRUE	2.50147757553063e-08	TRUE
